order_id,customer,region,product,quantity,revenue,load_timestamp
ORD-1001,Anna Kowalski,North America,Widget Pro,4,1200.00,2026-08-03T08:15:00Z
ORD-1002,Brian Chen,EMEA,Widget Lite,2,450.50,2026-08-03T09:02:00Z
ORD-1003,Carla Mendes,APAC,Gadget X,1,899.99,2026-08-02T22:47:00Z
ORD-1004,Derek Owusu,North America,Widget Pro,3,900.00,2026-08-03T07:30:00Z
ORD-1005,Elena Petrova,,Gadget X,5,2100.00,2026-08-03T10:05:00Z
ORD-1006,Farid Haidari,EMEA,Widget Lite,2,-150.00,2026-08-02T19:12:00Z
ORD-1007,Grace Lin,APAC,Widget Pro,6,1740.00,2026-08-03T06:55:00Z
ORD-1008,Hassan Ali,North America,Gadget X,1,899.99,2026-08-03T11:20:00Z
ORD-1009,Ines Duarte,EMEA,Widget Lite,3,675.75,2026-07-30T14:00:00Z
ORD-1010,Jonas Weber,APAC,Widget Pro,2,580.00,2026-08-02T23:58:00Z
ORD-1011,Katarzyna Nowak,North America,Gadget X,4,3599.96,2026-08-03T05:40:00Z
ORD-1004,Derek Owusu,North America,Widget Pro,3,900.00,2026-08-03T07:30:00Z
